fips_code,state,merit2010,merit2018,merit2019,merit2020
1,ALABAMA,0,0,124100,112500
2,ALASKA,0,10994290,10086522,9371849
4,ARIZONA,0,0,0,0
5,ARKANSAS,14710,109670865,105408549,108495004
6,CALIFORNIA,0,0,0,0
8,COLORADO,0,5165233,5304566,5189664
9,CONNECTICUT,0,0,0,0
10,DELAWARE,4980910,8398658,4455401,9014518
12,FLORIDA,423532776,382749853,544407258,618607165
13,GEORGIA,453950684,614813677,668848643,719947796
15,HAWAII,0,0,0,0
16,IDAHO,3399717,0,0,0
17,ILLINOIS,0,0,0,0
18,INDIANA,397500,0,0,0
19,IOWA,0,0,0,0
20,KANSAS,0,0,0,0
21,KENTUCKY,93764507,115235672,117832852,118743267
22,LOUISIANA,129992062,291319672,300726087,304052691
23,MAINE,0,0,0,0
24,MARYLAND,3802500,0,0,0
25,MASSACHUSETTS,0,0,0,0
26,MICHIGAN,1289278,0,0,0
27,MINNESOTA,0,0,0,0
28,MISSISSIPPI,18663147,16423931,17359996,17906845
29,MISSOURI,37028972,57220701,60211099,64922603
30,MONTANA,1341500,0,0,0
31,NEBRASKA,0,0,0,0
32,NEVADA,25244197,34557528,36977859,39523697
33,NEW HAMPSHIRE,0,0,0,0
34,NEW JERSEY,24013658,6444591,6506807,7063726
35,NEW MEXICO,55166128,57816268,59985616,61907286
36,NEW YORK,15454000,12960000,11726000,9950000
37,NORTH CAROLINA,442750,0,0,0
38,NORTH DAKOTA,0,0,0,0
39,OHIO,5171017,0,0,0
40,OKLAHOMA,9526350,11175400,5883175,5932750
41,OREGON,0,0,0,0
42,PENNSYLVANIA,1844206,2313000,2313000,4000000
44,RHODE ISLAND,0,0,0,0
45,SOUTH CAROLINA,0,286177429,297745266,306292842
46,SOUTH DAKOTA,3767833,5683550,6199850,6227350
47,TENNESSEE,238197062,268589423,274135993,277761718
48,TEXAS,7270970,0,0,0
49,UTAH,0,12508750,16141500,16499939
50,VERMONT,88000,84575,82967,73500
51,VIRGINIA,0,0,0,0
53,WASHINGTON,2695058,0,0,0
54,WEST VIRGINIA,45599720,47396369,47454201,46227116
55,WISCONSIN,3126180,3743512,3822181,3926548
56,WYOMING,0,0,0,0
