STU_ID,X1SEX,X1RACE,X1SES,X1SESQ5,X4ATPRLVLA,S3CLGPELL,P1TUITION
10001,1,8,1.5644,5,2,1,-7
10002,2,8,-.3699,2,6,1,-7
10003,2,3,1.2741,5,4,2,1
10004,2,8,.5498,5,-7,-8,0
10005,1,8,.1495,4,-7,2,-7
10006,2,8,1.0639,5,-8,1,0
10007,2,8,-.43,2,3,3,-7
10008,1,8,1.5144,5,4,2,-7
10009,1,8,-.3103,3,4,-7,0
10010,2,8,.0451,3,-8,-7,-7
10011,1,8,1.2058,5,-8,2,-7
10012,2,8,2.4996,5,4,2,1
10013,1,8,2.5668,5,4,2,-7
10014,2,3,-.8837,1,-7,3,1
10015,2,8,.9973,5,4,1,-7
10016,2,8,.0686,4,4,1,1
10018,1,8,1.3989,5,4,2,1
10019,1,5,-.0106,3,2,-4,-8
10020,1,8,-.2746,3,4,2,0
10021,1,8,.4235,4,5,2,-7
10022,1,2,1.4372,5,4,-8,-9
10024,1,8,.1402,4,4,-9,1
10025,1,8,-.1901,3,-7,-7,-8
10026,2,2,1.1142,5,4,1,-7
10027,2,8,.0887,4,5,-8,-9
10028,1,-9,-8,-8,-8,-8,-8
10029,1,8,-.8297,1,-8,-8,-7
10030,2,8,1.5809,5,4,2,0
10031,2,3,-8,-8,-8,-8,-8
10033,2,6,-.6008,2,-8,-8,-7
10034,2,5,-.0409,3,3,-7,-8
10035,1,3,-8,-8,-8,-8,-9
10036,2,8,.1493,4,4,2,-7
10037,2,8,.5238,4,2,2,-7
10038,1,2,1.0472,5,-8,2,-7
10039,2,2,.6753,5,4,1,0
10040,1,8,-.082,3,-9,-7,-8
10041,2,8,-.7046,2,-7,-7,-7
10042,1,8,-.0821,3,-8,-8,-8
10043,2,8,-.3642,2,6,3,-8
10044,1,8,1.3291,5,4,2,1
10045,2,8,-.2739,3,3,3,-7
10046,2,8,-.1707,3,5,2,-8
10047,1,-9,-8,-8,-8,-8,-8
10048,2,8,-.2888,3,-8,-7,-8
10049,2,5,.3972,4,4,1,-7
10050,2,8,-1.1012,1,3,-4,-7
10052,2,8,-.5433,2,-8,-8,-8
10053,1,8,.9842,5,-8,-8,-7
10054,2,6,-.2606,3,-8,-7,0
10055,1,2,1.4132,5,-8,-9,-7
10056,2,8,-.7901,1,6,-8,-7
10057,2,-9,-8,-8,-8,1,-8
10058,2,2,.5511,5,4,1,-7
10059,1,-9,-8,-8,-8,1,-8
10060,1,5,-.0058,3,6,-9,-7
10061,1,2,1.165,5,4,3,-8
10062,1,6,-.7022,2,-7,-7,-7
10063,1,5,-.6763,2,5,-8,-8
10064,2,8,-.1112,3,4,1,0
10065,2,8,-.5381,2,-7,-7,-7
10066,1,8,-.3694,2,-8,1,-7
10067,1,2,-1.7526,1,2,-7,-7
10068,2,8,-.0872,3,-7,-7,-8
10069,1,2,1.6587,5,-8,2,-7
10070,1,8,2.0218,5,-8,1,-9
10071,2,8,-.2749,3,-8,-7,-8
10072,2,8,-.0998,3,5,1,-7
10074,2,6,-.2813,3,6,-8,-7
10075,2,8,-.231,3,-7,-7,1
10076,1,-9,-8,-8,-7,-8,-8
10077,2,8,-.5803,2,-7,-7,-7
10078,1,3,2.1586,5,4,2,1
10079,2,6,.0865,4,-8,-7,-9
10080,2,3,.2028,4,6,1,-7
10081,2,-9,-8,-8,-8,-8,-8
10082,1,-9,-8,-8,-8,-8,-8
